id,district,house_type,house_build_date,floor_number,entrances,heating,window_view,ceiling_high,apartment_renovation,total_area,living_area,kitchen_area,nearest_subway,subway_type,subway_time,price
259495012,СЗАО,Панельный,2003,17,2,Центральное,На улицу и двор,3.0,Евроремонт,160.0,119.0,25.0,Сокол,on foot,43,65000000
253852779,ЦАО,Монолитно кирпичный,1994,3,4,Центральное,На улицу и двор,3.6,Без ремонта,112.0,81.0,20.0,Фрунзенская,on foot,10,65000000
256633811,ЗАО,Монолитный,2012,40,3,Центральное,Во двор,3.6,Евроремонт,114.0,64.0,15.0,Молодежная,on foot,6,64500000
256423303,ЦАО,Панельный,2019,16,5,Центральное,На улицу и двор,3.0,Без ремонта,106.0,64.6,16.1,Деловой центр,on foot,13,65900000
257511541,ЗАО,Панельный,2000,5,2,Центральное,Во двор,3.0,Евроремонт,131.0,67.0,23.0,Пионерская,on foot,11,66797730
258421621,ЦАО,Кирпичный,1902,4,1,Центральное,На улицу и двор,3.0,Евроремонт,100.0,64.0,12.0,Курская,on foot,8,66950000
257321954,ЗАО,Монолитный,2017,17,1,Центральное,На улицу и двор,3.0,Дизайнерский,116.0,55.0,25.0,Фили,on foot,16,70000000
259608784,ЦАО,Монолитный,2020,42,4,Центральное,Во двор,3.0,Без ремонта,119.6,80.0,20.0,Международная,on foot,6,72238000
250412865,ЦАО,Панельный,2002,7,3,Индивидуальный тепловой пункт,На улицу и двор,3.0,Без ремонта,112.0,70.0,16.0,Сухаревская,on foot,5,73000000
228825009,ЗАО,Монолитный,2006,2,5,Центральное,Во двор,3.0,Дизайнерский,98.0,65.0,25.0,Славянский бульвар,transport,5,75000000
241697488,ЦАО,Монолитный,2003,3,1,Центральное,Во двор,3.2,Евроремонт,128.1,50.0,7.0,Добрынинская,on foot,2,74970000
259534873,ЦАО,Кирпичный,1938,8,12,Центральное,На улицу и двор,4.0,Дизайнерский,71.0,52.0,16.0,Охотный ряд,on foot,4,77000000
256808811,ЗАО,Кирпичный,2008,6,3,Автономная котельная,На улицу и двор,3.5,Без ремонта,110.0,70.0,19.0,Студенческая,on foot,9,77700000
258451437,ЗАО,Монолитный,2008,5,1,Центральное,На улицу и двор,3.0,Дизайнерский,144.1,87.9,21.9,Славянский бульвар,on foot,16,77990000
219519174,ЦАО,Кирпичный,1994,3,4,Центральное,На улицу и двор,3.0,Дизайнерский,94.0,55.0,20.0,Смоленская,on foot,4,80000000
257116982,ЦАО,Кирпичный,1900,4,1,Центральное,На улицу и двор,3.2,Евроремонт,138.0,60.0,15.0,Арбатская,on foot,8,80000000
260030092,ЦАО,Кирпичный,1900,4,1,Центральное,На улицу и двор,3.0,Дизайнерский,140.0,75.0,17.0,Арбатская,on foot,5,80000000
259089029,САО,Кирпичный,2006,8,8,Центральное,На улицу и двор,3.0,Дизайнерский,147.1,83.0,18.0,Аэропорт,on foot,10,79999000
254282072,ЦАО,Монолитный,2018,5,4,Центральное,На улицу и двор,3.0,Без ремонта,145.9,87.5,17.5,Новокузнецкая,on foot,8,81000000
260100866,ЦАО,Старый фонд,1994,4,4,Центральное,На улицу и двор,3.8,Евроремонт,110.0,75.0,16.0,Кропоткинская,on foot,8,81641670
217967852,ЗАО,Монолитный,2004,14,2,Центральное,На улицу и двор,3.5,Дизайнерский,212.6,100.8,19.0,Славянский бульвар,on foot,8,82400000
243591118,ЦАО,Монолитный,2012,7,4,Центральное,Во двор,3.0,Дизайнерский,95.0,57.9,14.5,Новокузнецкая,on foot,3,83000000
256633712,СВАО,Монолитный,2009,4,7,Центральное,На улицу и двор,3.4,Дизайнерский,130.0,69.1,21.6,ВДНХ,on foot,14,88000000
228809152,ЦАО,Кирпичный,1892,2,3,Центральное,На улицу и двор,3.0,Дизайнерский,210.0,90.0,23.0,Чистые пруды,on foot,2,90000000
257581286,ЦАО,Кирпичный,1997,6,2,Центральное,На улицу и двор,3.0,Евроремонт,134.0,84.0,20.0,Улица 1905 года,on foot,6,92032428
247447136,ЗАО,Кирпичный,2008,9,2,Автономная котельная,На улицу и двор,3.0,Дизайнерский,138.0,84.1,21.0,Студенческая,on foot,8,91950000
257707560,ЦАО,Монолитно кирпичный,1994,4,4,Центральное,На улицу и двор,3.0,Без ремонта,104.9,62.3,12.9,Фрунзенская,on foot,11,92700000
258832821,ЦАО,Монолитный,2002,2,2,Центральное,На улицу и двор,3.1,Евроремонт,125.0,74.0,12.0,Кропоткинская,on foot,9,96000000
236165780,ЗАО,Монолитный,2011,45,5,Центральное,На улицу и двор,3.0,Без ремонта,157.0,95.7,23.9,Ломоносовский проспект,transport,3,99000000
259764231,ЦАО,Монолитный,2004,3,1,Центральное,На улицу и двор,3.0,Евроремонт,140.0,125.0,10.0,Маяковская,on foot,5,100196595
257890863,ЦАО,Монолитный,1994,3,4,Центральное,Во двор,3.3,Без ремонта,132.0,62.1,32.0,Третьяковская,on foot,6,108000000
257428539,ЦАО,Монолитно кирпичный,1994,6,4,Центральное,На улицу и двор,3.6,Дизайнерский,113.3,63.0,20.0,Спортивная,on foot,11,112000000
258467210,ЦАО,Монолитный,1994,23,4,Центральное,На улицу,3.5,Евроремонт,219.0,153.0,15.0,Деловой центр,on foot,2,113778800
256633645,ЦАО,Панельный,1994,44,4,Центральное,На улицу и двор,3.0,Евроремонт,145.0,93.0,15.0,Деловой центр,on foot,2,112962383
260451222,ЦАО,Кирпичный,1956,13,2,Центральное,Во двор,2.9,Евроремонт,149.0,78.0,14.0,Охотный ряд,on foot,5,115000000
259324295,ЦАО,Монолитный,2000,2,1,Центральное,На улицу и двор,3.0,Дизайнерский,130.0,90.0,20.0,Смоленская,on foot,6,114999000
256633457,ЦАО,Панельный,1994,37,4,Центральное,На улицу и двор,3.0,Дизайнерский,170.0,113.0,15.0,Международная,on foot,1,115000000
245268238,ЦАО,Монолитный,1994,8,4,Центральное,Во двор,3.6,Без ремонта,103.0,62.8,15.7,Фрунзенская,on foot,8,122462505
259489396,ЦАО,Монолитный,2015,3,4,Центральное,На улицу,3.0,Без ремонта,147.5,89.9,22.5,Смоленская,on foot,2,125000000
257256282,ЦАО,Монолитный,2015,4,4,Центральное,На улицу и двор,3.0,Дизайнерский,146.4,89.3,22.3,Смоленская,on foot,2,133595460
260087809,ЦАО,Кирпичный,2005,7,4,Индивидуальный тепловой пункт,На улицу и двор,3.5,Евроремонт,211.1,95.0,10.0,Полянка,on foot,4,141017430
221598043,ЦАО,Кирпичный,1971,9,1,Центральное,На улицу и двор,3.0,Евроремонт,147.0,112.0,20.0,Смоленская,on foot,12,141017430
257581356,ЦАО,Монолитный,2017,5,4,Центральное,На улицу и двор,6.0,Дизайнерский,125.0,80.0,7.0,Улица 1905 года,on foot,7,145000000
250134574,ЦАО,Монолитный,2012,2,4,Центральное,На улицу и двор,3.0,Без ремонта,140.0,85.4,21.3,Цветной бульвар,on foot,10,152892582
257498539,ЦАО,Монолитный,2019,19,4,Центральное,На улицу и двор,3.0,Дизайнерский,177.0,107.9,26.9,Беговая,transport,3,160000000
228934183,САО,Кирпичный,2006,26,8,Центральное,На улицу и двор,3.0,Дизайнерский,262.0,159.8,39.9,Сокол,on foot,14,185549250
256633405,ЦАО,Панельный,1994,57,4,Центральное,На улицу и двор,3.3,Дизайнерский,235.0,190.0,10.0,Выставочная,on foot,3,207815160
258591758,ЦАО,Монолитный,1998,5,1,Центральное,На улицу и двор,3.0,Дизайнерский,150.0,100.0,11.0,Краснопресненская,on foot,6,222659100
259260507,ЦАО,Монолитный,2015,2,4,Центральное,На улицу и двор,3.0,Евроремонт,123.0,95.0,15.0,Лубянка,on foot,5,252346980
242692544,ЦАО,Монолитный,2010,6,1,Центральное,На улицу и двор,3.0,Дизайнерский,207.0,126.2,31.5,Парк Культуры,on foot,7,275000000
257182384,ЦАО,Монолитный,2006,8,1,Центральное,На улицу,3.2,Евроремонт,207.0,145.0,40.0,Смоленская,on foot,5,348832590
245064840,ЦАО,Монолитный,2017,74,4,Центральное,На улицу,3.0,Дизайнерский,84.0,51.2,12.8,Деловой центр,on foot,3,56376000
258103472,ЦАО,Панельный,1994,23,4,Центральное,На улицу и двор,3.0,Дизайнерский,100.0,61.0,15.2,Выставочная,on foot,4,57900000
242588319,ЗАО,Монолитный,2017,17,4,Центральное,На улицу,3.2,Дизайнерский,110.0,56.0,25.0,Фили,on foot,10,64300000
259350504,ЦАО,Монолитный,2020,46,4,Центральное,На улицу и двор,3.0,Косметический,122.0,74.4,18.6,Деловой центр,on foot,4,74000000
260258005,ЮВАО,Панельный,2020,3,2,Центральное,На улицу и двор,2.74,Без ремонта,38.5,18.9,7.4,Некрасовка,on foot,20,7759650
260311347,ЮВАО,Кирпичный,1958,7,4,Центральное,На улицу и двор,3.1,Без ремонта,85.0,65.0,12.0,Лефортово,transport,2,8000000
260258087,ЮВАО,Панельный,2020,4,4,Центральное,На улицу и двор,3.0,Без ремонта,39.6,18.8,9.7,Некрасовка,on foot,20,8222200
252031165,ЮВАО,Панельный,1994,16,4,Центральное,На улицу и двор,3.0,Косметический,64.0,39.0,7.7,Кузьминки,on foot,16,9505779
258106556,ЮАО,Панельный,1974,1,6,Центральное,Во двор,3.0,Косметический,60.0,40.0,6.0,Покровское,transport,15,9500000
260378492,ЮВАО,Монолитный,1994,9,4,Центральное,Во двор,2.8,Без ремонта,54.4,33.0,14.0,Братиславская,transport,4,9500000
251412030,ЮАО,Монолитный,2017,3,4,Центральное,Во двор,3.0,Без ремонта,77.0,66.0,8.0,Автозаводская,on foot,14,9750000
259352029,СВАО,Панельный,1975,8,8,Центральное,На улицу и двор,3.0,Без ремонта,50.9,33.8,6.2,Отрадное,on foot,15,10200000
253019608,СЗАО,Кирпичный,1961,1,3,Центральное,Во двор,2.48,Косметический,53.7,40.0,6.0,Тушинская,on foot,12,10400000
257396842,САО,Кирпичный,1994,1,4,Центральное,На улицу и двор,3.0,Дизайнерский,101.5,71.5,24.0,Планерная,transport,30,10600000
258836599,ЗАО,Панельный,1969,2,4,Центральное,На улицу и двор,2.65,Без ремонта,60.0,43.0,6.0,Говорово,on foot,11,10800000
257714665,ЮАО,Панельный,1994,1,4,Центральное,На улицу и двор,2.6,Косметический,59.7,43.1,6.0,Зябликово,on foot,8,10990000
