id,district,housing_type,house_type,house_build_date,floor_number,total_area,living_area,kitchen_area,nearest_subway,subway_type,subway_time,price
260451222,ЦАО,Вторичка,Кирпичный,1956,13,149.0,78.0,14.0,Охотный ряд,on foot,5,115000000
259324295,ЦАО,Вторичка,Монолитный,2000,2,130.0,90.0,20.0,Смоленская,on foot,6,114999000
256633457,ЦАО,Вторичка,Панельный,1994,37,170.0,113.0,15.0,Международная,on foot,1,115000000
245268238,ЦАО,Вторичка,Монолитный,1994,8,103.0,62.8,15.7,Фрунзенская,on foot,8,122462505
259489396,ЦАО,Вторичка,Монолитный,2015,3,147.5,89.9,22.5,Смоленская,on foot,2,125000000
257256282,ЦАО,Вторичка,Монолитный,2015,4,146.4,89.3,22.3,Смоленская,on foot,2,133595460
260087809,ЦАО,Вторичка,Кирпичный,2005,7,211.1,95.0,10.0,Полянка,on foot,4,141017430
221598043,ЦАО,Вторичка,Кирпичный,1971,9,147.0,112.0,20.0,Смоленская,on foot,12,141017430
257581356,ЦАО,Вторичка,Монолитный,2017,5,125.0,80.0,7.0,Улица 1905 года,on foot,7,145000000
250134574,ЦАО,Вторичка,Монолитный,2012,2,140.0,85.4,21.3,Цветной бульвар,on foot,10,152892582
257498539,ЦАО,Вторичка,Монолитный,2019,19,177.0,107.9,26.9,Беговая,transport,3,160000000
228934183,САО,Вторичка,Кирпичный,2006,26,262.0,159.8,39.9,Сокол,on foot,14,185549250
256633405,ЦАО,Вторичка,Панельный,1994,57,235.0,190.0,10.0,Выставочная,on foot,3,207815160
258591758,ЦАО,Вторичка,Монолитный,1998,5,150.0,100.0,11.0,Краснопресненская,on foot,6,222659100
259260507,ЦАО,Вторичка,Монолитный,2015,2,123.0,95.0,15.0,Лубянка,on foot,5,252346980
242692544,ЦАО,Вторичка,Монолитный,2010,6,207.0,126.2,31.5,Парк Культуры,on foot,7,275000000
257182384,ЦАО,Вторичка,Монолитный,2006,8,207.0,145.0,40.0,Смоленская,on foot,5,348832590
245064840,ЦАО,Вторичка,Монолитный,2017,74,84.0,51.2,12.8,Деловой центр,on foot,3,56376000
258103472,ЦАО,Вторичка,Панельный,1994,23,100.0,61.0,15.2,Выставочная,on foot,4,57900000
242588319,ЗАО,Вторичка,Монолитный,2017,17,110.0,56.0,25.0,Фили,on foot,10,64300000
259350504,ЦАО,Вторичка,Монолитный,2020,46,122.0,74.4,18.6,Деловой центр,on foot,4,74000000
260258005,ЮВАО,Вторичка,Панельный,2020,3,38.5,18.9,7.4,Некрасовка,on foot,20,7759650
260311347,ЮВАО,Вторичка,Кирпичный,1958,7,85.0,65.0,12.0,Лефортово,transport,2,8000000
260258087,ЮВАО,Вторичка,Панельный,2020,4,39.6,18.8,9.7,Некрасовка,on foot,20,8222200
252031165,ЮВАО,Вторичка,Панельный,1994,16,64.0,39.0,7.7,Кузьминки,on foot,16,9505779
258106556,ЮАО,Вторичка,Панельный,1974,1,60.0,40.0,6.0,Покровское,transport,15,9500000
260378492,ЮВАО,Вторичка,Монолитный,1994,9,54.4,33.0,14.0,Братиславская,transport,4,9500000
