id,Город,Округ,Район,Улица,Дом,Общая,Жилая,Кухня,Этаж,Построен,Срок сдачи,Тип жилья,Высота потолков,Санузел,Ванная комната,Балкон/лоджия,Ремонт,Вид из окон,Площадь комнат,Отделка,Год постройки,Тип дома,Тип перекрытий,Подъезды,Лифты,Отопление,Аварийность,Парковка,Мусоропровод,Газоснабжение,Сдача комплекса,Застройщик,Класс,Кол-во корпусов,Ближайшее метро,Время до ближайшего метро,Цена
259651781,Москва,САО,р-н Ховрино,ул. Дыбенко,7к4,"128,5 м²","67,6 м²","28,5 м²",25 из 30,,3 кв. 2021,Новостройка,,"2 совмещенных, 1 раздельный",,,,Во двор,,,,,,,,,,,,,,,,,Ховрино, ⋅  1 мин. пешком,36 240 000 ₽
259743202,Москва,ЗАО,р-н Можайский,ул. Петра Алексеева,12к2,"98,7 м²",45 м²,"28,4 м²",15 из 28,,,Новостройка,3 м,2 совмещенных,,1 лоджия,,Во двор,,,,,,,,,,,,,,,,,Рабочий поселок, ⋅  17 мин. пешком,38 000 000 ₽
259879559,Москва,ЗАО,р-н Раменки,ул. Лобачевского,120,"110,35 м²",72 м²,19 м²,20 из 39,,1 кв. 2021,Новостройка,,3 совмещенных,,,,На улицу,,,,,,,,,,,,,,,,,Проспект Вернадского, ⋅  31 мин. пешком,39 000 000 ₽
258033441,Москва,ЮАО,р-н Даниловский,Квартал Нау жилой комплекс,к3.2,"108,7 м²","70,3 м²","13,4 м²",20 из 20,,4 кв. 2021,Новостройка,,"1 совмещенный, 1 раздельный",,,,Во двор,,,,,,,,,,,,,,,,,Коломенская, ⋅  3 мин. на транспорте,45 000 000 ₽
248077555,Москва,САО,р-н Левобережный,Ленинградское ш.,69,"126,3 м²",77 м²,"14,5 м²",11 из 14,,4 кв. 2021,Новостройка,,,,1 лоджия,,,,,,,,,,,,,,,,,,,Ховрино, ⋅  6 мин. на транспорте,47 000 000 ₽
251104256,Москва,ЗАО,р-н Раменки,Мичуринский просп.,56,136 м²,,,31 из 52,,,Новостройка,3 м,"1 совмещенный, 1 раздельный",,,,На улицу и двор,,,,,,,,,,,,,,,,,Мичуринский проспект, ⋅  13 мин. пешком,51 900 000 ₽
198832674,Москва,ЮАО,р-н Даниловский,наб. Марка Шагала,1к2,"136,4 м²","59,8 м²","32,3 м²",6 из 14,,,Новостройка,"3,25 м","2 совмещенных, 1 раздельный",,1 лоджия,,На улицу и двор,,,,,,,,,,,,,,,,,ЗИЛ, ⋅  15 мин. пешком,58 500 000 ₽
257303818,Москва,САО,р-н Беговой,Ленинградский просп.,8С10,"80,6 м²",52 м²,"13,6 м²",5 из 14,,3 кв. 2022,Новостройка Апартаменты,3 м,,,,,На улицу и двор,,,,,,,,,,,,,,,,,Белорусская, ⋅  5 мин. пешком,60 450 000 ₽
234384726,Москва,ЦАО,р-н Якиманка,Мытная ул.,40к3,152 м²,,,27 из 29,,4 кв. 2021,Новостройка,,2 раздельных,,,,,,,,,,,,,,,,,,,,,Серпуховская, ⋅  10 мин. пешком,91 500 000 ₽
255037135,Москва,САО,р-н Беговой,Верхняя ул.,20к1,146 м²,76 м²,10 м²,22 из 24,,,Новостройка,"3,6 м",3 раздельных,,,,На улицу,,,,,,,,,,,,,,,,,Белорусская, ⋅  10 мин. пешком,110 890 000 ₽
245584359,Москва,ЦАО,р-н Хамовники,ул. Усачева,11,"179,92 м²",,,4 из 16,,,Новостройка,,4 совмещенных,,,,,,,,,,,,,,,,,,,,,Фрунзенская, ⋅  11 мин. пешком,150 000 000 ₽
258020431,Москва,ЦАО,р-н Хамовники,ул. Усачева,11,"176,2 м²","95,5 м²","30,1 м²",11 из 16,,,Новостройка,,4 совмещенных,,,,Во двор,,,,,,,,,,,,,,,,,Фрунзенская, ⋅  11 мин. пешком,176 000 000 ₽
258739149,Москва,ЦАО,р-н Пресненский,2-я Звенигородская ул.,,"290,36 м²",,,14 из 21,,2 кв. 2022,Новостройка,,,,,,,,,,,,,,,,,,,,,,,Баррикадная, ⋅  3 мин. на транспорте,239 000 000 ₽
260556854,Москва,НАО (Новомосковский),Сосенское поселение,бул. Скандинавский,5к2,"62,2 м²","42,6 м²","6,3 м²",4 из 9,,4 кв. 2020,Новостройка,"2,89 м",,,,,Во двор,,"Предчистовая, чистовая",,"Монолитно-кирпичный, монолитный",,,,,,"Подземная, гостевая",,,"Сдача в 2021—2023, есть сданные",А101,Комфорт,68 корпусов,Коммунарка, ⋅  8 мин. на транспорте,10 958 500 ₽
